"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"136",0.00129599497269293,-0.802138718191653,0.153,0.299,1,"6","Bzw2"
"137",0.00279388568758657,-0.77800976290127,0.118,0.249,1,"6","Dhx9"
"138",0.00557263210228117,-0.834539042418747,0.082,0.194,1,"6","Smarce1"
"139",0.00615364167032802,-0.785521047597097,0.047,0.153,1,"6","Cd247"
"140",0.00947622478746964,-0.783486649100875,0.306,0.395,1,"6","Cd8b1"
"141",0,3.4705828686333,0.438,0.001,0,"7","H2-Aa"
"142",0,3.02003245661811,0.375,0.002,0,"7","H2-Eb1"
"143",0,2.79110699849373,0.406,0.001,0,"7","C1qb"
"144",0,2.77055967274545,0.344,0.001,0,"7","C1qc"
"145",0,2.58770025090519,0.562,0.002,0,"7","Aif1"
"146",1.0779575366726e-307,2.19150604207878,0.281,0.001,1.47065746728243e-303,"7","Vcam1"
"147",2.37894457158631e-285,4.01507891266393,0.531,0.005,3.24559407901521e-281,"7","Cd74"
"148",3.46295868831689e-268,2.66271647161396,0.438,0.003,4.72451453847073e-264,"7","Cfp"
"149",6.34060859183526e-202,2.44986133825565,0.219,0.001,8.65049230184085e-198,"7","C1qa"
"150",5.0910512590193e-184,3.11585193721713,0.625,0.012,6.94572123268003e-180,"7","Ctss"
"151",3.56082144451615e-156,2.46160024450913,0.406,0.006,4.85802869675339e-152,"7","Fcer1g"
"152",4.32167738535442e-140,3.65781663294181,0.438,0.008,5.89606445683903e-136,"7","H2-Ab1"
"153",5.62338937363687e-108,4.0586870441325,0.281,0.004,7.67199012245278e-104,"7","Lyz2"
"154",7.57038493510179e-95,2.1420710016649,0.406,0.01,1.03282761669594e-90,"7","Irf8"
"155",3.95581216248947e-90,2.3100704450934,0.25,0.004,5.39691453328438e-86,"7","Cd63"
"156",1.82091477143043e-39,2.15485762242199,0.562,0.052,2.48427402266253e-35,"7","Ctsz"
"157",4.44481468160158e-32,3.46946926116685,0.5,0.051,6.06406067010904e-28,"7","Apoe"
"158",3.8414043302819e-21,2.92472154571668,0.625,0.127,5.24082792780359e-17,"7","Cst3"
"159",1.02532782708187e-14,2.72137913297544,0.5,0.111,1.3988547544878e-10,"7","Ctsb"
"160",3.52948950447953e-14,-2.18291655097689,0.281,0.883,4.81528253096142e-10,"7","Trbc2"
